Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease
Abdominal Pain,Dizziness,Fever,Muscle Weakness,Joint Pain,Food Poisoning
Dizziness,Sore Throat,Loss of Appetite,Headache,Shortness of Breath,Asthma
Loss of Appetite,Chest Pain,Chills,Sweating,Dizziness,Flu
Sweating,High Fever,Shortness of Breath,Dizziness,Vomiting,Food Poisoning
Skin Rash,Fatigue,Shortness of Breath,Swelling,Dizziness,Bronchitis
Swelling,Shortness of Breath,Nausea,Runny Nose,Abdominal Pain,Food Poisoning
Headache,Chest Pain,High Fever,Chills,Loss of Appetite,Malaria
Muscle Weakness,Sneezing,Headache,Cough,Chills,COVID-19
Body Pain,Dizziness,Sweating,Chills,Skin Rash,Malaria
High Fever,Chills,Body Pain,Abdominal Pain,Sneezing,Allergy
Swelling,Muscle Weakness,Shortness of Breath,Chills,Sneezing,Malaria
Shortness of Breath,Dizziness,Joint Pain,Chest Pain,Chills,Food Poisoning
Joint Pain,Loss of Appetite,Muscle Weakness,Runny Nose,Body Pain,Cold
Skin Rash,Chills,Swelling,Chest Pain,Vomiting,Food Poisoning
Sweating,Abdominal Pain,Diarrhea,Cough,Sneezing,Food Poisoning
Muscle Weakness,Runny Nose,Cough,Body Pain,Diarrhea,Flu
Abdominal Pain,Fever,Dizziness,Sweating,Runny Nose,Allergy
Abdominal Pain,Fatigue,Runny Nose,Shortness of Breath,Dizziness,Asthma
Skin Rash,Swelling,Muscle Weakness,Sore Throat,Abdominal Pain,Food Poisoning
Sore Throat,Headache,Shortness of Breath,High Fever,Vomiting,Dengue
Muscle Weakness,Cough,Loss of Appetite,Fever,Headache,Asthma
Dizziness,Shortness of Breath,Muscle Weakness,Loss of Appetite,Chest Pain,COVID-19
Abdominal Pain,Sore Throat,Joint Pain,Fatigue,Loss of Appetite,Flu
Nausea,Chills,Dizziness,Headache,Shortness of Breath,Dengue
Loss of Appetite,Fever,Chest Pain,Shortness of Breath,Abdominal Pain,Pneumonia
Fatigue,Sweating,Dizziness,Nausea,Headache,Allergy
Diarrhea,High Fever,Fatigue,Fever,Sweating,Food Poisoning
Loss of Appetite,Sore Throat,Joint Pain,Sneezing,Chest Pain,Asthma
Muscle Weakness,Runny Nose,Chest Pain,Sweating,Sneezing,Typhoid
Chest Pain,Diarrhea,Shortness of Breath,Chills,Fatigue,Dengue
Chest Pain,Cough,Body Pain,Abdominal Pain,Sneezing,Dengue
Fever,Runny Nose,Fatigue,Vomiting,Chest Pain,Dengue
Nausea,Abdominal Pain,Chills,Muscle Weakness,Headache,Dengue
Body Pain,Nausea,Sneezing,Joint Pain,Muscle Weakness,Allergy
Sore Throat,Headache,Cough,Sweating,Diarrhea,Cold
Sweating,Shortness of Breath,Abdominal Pain,Vomiting,High Fever,Chikungunya
Sneezing,Diarrhea,Abdominal Pain,High Fever,Loss of Appetite,Chikungunya
Muscle Weakness,High Fever,Shortness of Breath,Abdominal Pain,Joint Pain,Flu
Fever,Diarrhea,Chest Pain,Runny Nose,Nausea,Bronchitis
Nausea,Cough,Abdominal Pain,Body Pain,Dizziness,Asthma
Diarrhea,Chills,Nausea,Runny Nose,Fever,Dengue
Joint Pain,Fatigue,Abdominal Pain,Nausea,Vomiting,Flu
Joint Pain,Dizziness,Abdominal Pain,Fever,Nausea,Allergy
Chest Pain,Sore Throat,Abdominal Pain,Shortness of Breath,Fatigue,Dengue
Skin Rash,High Fever,Dizziness,Diarrhea,Cough,COVID-19
Fever,Chest Pain,Vomiting,Diarrhea,Sore Throat,Dengue
Vomiting,Muscle Weakness,Chest Pain,Shortness of Breath,High Fever,COVID-19
High Fever,Runny Nose,Chest Pain,Fever,Sneezing,Pneumonia
Fever,Muscle Weakness,Dizziness,Diarrhea,Nausea,Allergy
Body Pain,Chest Pain,Chills,Swelling,Sneezing,Chikungunya
Vomiting,Cough,Loss of Appetite,Abdominal Pain,Shortness of Breath,Chikungunya
High Fever,Muscle Weakness,Sweating,Chills,Headache,Cold
Muscle Weakness,Runny Nose,Joint Pain,High Fever,Loss of Appetite,Pneumonia
Runny Nose,Swelling,Skin Rash,Loss of Appetite,Chest Pain,Tuberculosis
Muscle Weakness,Runny Nose,Skin Rash,Sore Throat,Swelling,Asthma
Vomiting,Abdominal Pain,Headache,Diarrhea,Joint Pain,Flu
Nausea,Sweating,Skin Rash,High Fever,Abdominal Pain,Dengue
Headache,Shortness of Breath,Vomiting,Fever,Fatigue,Allergy
Loss of Appetite,Joint Pain,Sneezing,Chest Pain,Shortness of Breath,Allergy
Abdominal Pain,Sneezing,Chills,Joint Pain,Cough,Flu
Chest Pain,Skin Rash,Runny Nose,Sore Throat,Nausea,Bronchitis
Vomiting,Sweating,Sore Throat,Joint Pain,Sneezing,Bronchitis
Cough,Nausea,Muscle Weakness,Chills,Loss of Appetite,Allergy
Joint Pain,Dizziness,Swelling,Runny Nose,Nausea,Typhoid
Sore Throat,Skin Rash,Headache,Swelling,Chest Pain,Cold
Sweating,Sore Throat,Body Pain,Diarrhea,Headache,Dengue
Loss of Appetite,Cough,Vomiting,Sore Throat,Swelling,Tuberculosis
Chills,Chest Pain,Muscle Weakness,Joint Pain,Sweating,Flu
Dizziness,Sore Throat,Runny Nose,Cough,Diarrhea,Allergy
Skin Rash,High Fever,Diarrhea,Body Pain,Chest Pain,Tuberculosis
Chills,Fatigue,High Fever,Shortness of Breath,Dizziness,Dengue
Fever,Body Pain,Headache,Swelling,Abdominal Pain,Malaria
Swelling,Muscle Weakness,Chest Pain,Dizziness,Skin Rash,Tuberculosis
Cough,Skin Rash,Fever,Joint Pain,Abdominal Pain,Asthma
Abdominal Pain,Joint Pain,Swelling,Muscle Weakness,Skin Rash,Malaria
Nausea,Cough,Dizziness,Skin Rash,Joint Pain,Allergy
Vomiting,Body Pain,Sweating,Dizziness,Loss of Appetite,Cold
Cough,Sneezing,Vomiting,Skin Rash,Chest Pain,Malaria
Sore Throat,Shortness of Breath,Fever,Dizziness,Diarrhea,Food Poisoning
Joint Pain,Diarrhea,Headache,Fever,Muscle Weakness,Dengue
Vomiting,Abdominal Pain,Sweating,High Fever,Loss of Appetite,Typhoid
Swelling,Loss of Appetite,Joint Pain,Fever,Cough,Malaria
Skin Rash,Muscle Weakness,Cough,Nausea,Fever,Tuberculosis
Sore Throat,High Fever,Headache,Diarrhea,Dizziness,COVID-19
High Fever,Chills,Muscle Weakness,Fatigue,Loss of Appetite,COVID-19
Abdominal Pain,Headache,Swelling,Loss of Appetite,Chills,COVID-19
Nausea,Body Pain,Chest Pain,Dizziness,Headache,Bronchitis
Sore Throat,Chest Pain,Fever,Joint Pain,Loss of Appetite,Asthma
High Fever,Chills,Body Pain,Fatigue,Sneezing,Flu
Headache,Loss of Appetite,Fever,Muscle Weakness,Skin Rash,Typhoid
Loss of Appetite,Fatigue,Diarrhea,Swelling,Chills,Pneumonia
Headache,Dizziness,Skin Rash,Runny Nose,Chest Pain,Dengue
Abdominal Pain,Sweating,Nausea,Sneezing,Runny Nose,Allergy
Muscle Weakness,Chills,Sneezing,Sweating,Body Pain,Tuberculosis
High Fever,Body Pain,Cough,Loss of Appetite,Runny Nose,Typhoid
Nausea,Joint Pain,Dizziness,Chills,Shortness of Breath,Food Poisoning
Vomiting,Nausea,Fever,Swelling,Sweating,Allergy
Body Pain,Runny Nose,Muscle Weakness,Diarrhea,Abdominal Pain,Chikungunya
Fatigue,Chills,Chest Pain,Sweating,Loss of Appetite,Allergy
Shortness of Breath,Headache,Vomiting,Skin Rash,Dizziness,Bronchitis
Swelling,Sweating,Fever,Runny Nose,Abdominal Pain,Food Poisoning
Chills,Fatigue,Diarrhea,Sore Throat,Fever,Allergy
Nausea,Runny Nose,Body Pain,Chest Pain,Sore Throat,Bronchitis
Sneezing,Nausea,Cough,Loss of Appetite,Chills,Pneumonia
Loss of Appetite,Runny Nose,Sore Throat,Cough,Joint Pain,COVID-19
Fever,Muscle Weakness,Fatigue,Chills,Body Pain,Malaria
Swelling,Sweating,Vomiting,Fatigue,Body Pain,Tuberculosis
Runny Nose,Vomiting,Muscle Weakness,Sweating,Headache,Tuberculosis
Sneezing,Cough,Dizziness,Fatigue,Fever,COVID-19
Runny Nose,Swelling,Cough,Body Pain,High Fever,Flu
Skin Rash,Muscle Weakness,Chills,Body Pain,Fatigue,Flu
Abdominal Pain,Shortness of Breath,Body Pain,Nausea,Fatigue,Tuberculosis
Fatigue,Nausea,Sneezing,Chills,Abdominal Pain,Malaria
Runny Nose,Sneezing,Sweating,Body Pain,Joint Pain,Bronchitis
Dizziness,Sneezing,Loss of Appetite,Vomiting,Body Pain,COVID-19
Nausea,Runny Nose,Skin Rash,Swelling,Chest Pain,Flu
Fever,Muscle Weakness,Vomiting,High Fever,Dizziness,Food Poisoning
Shortness of Breath,Muscle Weakness,Fatigue,Loss of Appetite,High Fever,Tuberculosis
Dizziness,Shortness of Breath,High Fever,Nausea,Swelling,Tuberculosis
Sneezing,Headache,Chest Pain,Muscle Weakness,Swelling,Asthma
Chest Pain,Fever,Runny Nose,Loss of Appetite,Diarrhea,Asthma
Sore Throat,Chills,Abdominal Pain,Runny Nose,Vomiting,Bronchitis
Fatigue,Abdominal Pain,Sneezing,Sweating,Skin Rash,Food Poisoning
Runny Nose,Chills,Vomiting,Body Pain,Muscle Weakness,Tuberculosis
Diarrhea,Nausea,Sneezing,Fatigue,Cough,Asthma
Sweating,Sneezing,Body Pain,Fever,Loss of Appetite,COVID-19
Sweating,Body Pain,Nausea,Shortness of Breath,Runny Nose,Malaria
Loss of Appetite,Sweating,Chest Pain,Skin Rash,Nausea,Cold
Swelling,Runny Nose,Loss of Appetite,Fever,Sneezing,Food Poisoning
Nausea,Loss of Appetite,Abdominal Pain,Fever,Diarrhea,Tuberculosis
Abdominal Pain,High Fever,Cough,Body Pain,Chest Pain,Typhoid
Chest Pain,Shortness of Breath,Headache,Cough,Muscle Weakness,Food Poisoning
Joint Pain,Headache,Vomiting,Skin Rash,Cough,Chikungunya
Sore Throat,Body Pain,Skin Rash,Abdominal Pain,Dizziness,Pneumonia
Sweating,High Fever,Cough,Muscle Weakness,Diarrhea,Food Poisoning
Fatigue,Headache,Runny Nose,Skin Rash,Vomiting,Dengue
Chills,Body Pain,Abdominal Pain,Swelling,Skin Rash,Food Poisoning
Sneezing,Sore Throat,Fatigue,Runny Nose,Dizziness,Allergy
Joint Pain,Diarrhea,Nausea,Body Pain,Abdominal Pain,Flu
Loss of Appetite,Sneezing,Fatigue,Chest Pain,Body Pain,Pneumonia
Dizziness,High Fever,Chest Pain,Loss of Appetite,Sore Throat,Bronchitis
Chills,Loss of Appetite,Skin Rash,High Fever,Nausea,Asthma
Sweating,Headache,Body Pain,Joint Pain,Sneezing,Allergy
Shortness of Breath,Loss of Appetite,Headache,Vomiting,Sweating,Chikungunya
Muscle Weakness,Joint Pain,Skin Rash,Nausea,Vomiting,Asthma
Sneezing,Loss of Appetite,Fever,Shortness of Breath,Nausea,Pneumonia
Nausea,Swelling,Sneezing,Sweating,Diarrhea,Chikungunya
Sneezing,Headache,Body Pain,Sweating,Abdominal Pain,COVID-19
Loss of Appetite,Sweating,Runny Nose,Muscle Weakness,Chest Pain,Malaria
Chills,Joint Pain,Vomiting,Runny Nose,Chest Pain,Cold
Abdominal Pain,Muscle Weakness,Loss of Appetite,Vomiting,Headache,Chikungunya
Abdominal Pain,Body Pain,Nausea,Dizziness,Fever,COVID-19
Diarrhea,Skin Rash,Sore Throat,Fatigue,Sneezing,Chikungunya
Joint Pain,Sore Throat,Fever,Sneezing,Shortness of Breath,Tuberculosis
Nausea,Shortness of Breath,Runny Nose,Sneezing,Vomiting,Allergy
Chest Pain,Skin Rash,Swelling,Shortness of Breath,Fatigue,Cold
Shortness of Breath,Sneezing,Joint Pain,Dizziness,Muscle Weakness,Malaria
Shortness of Breath,Fever,Abdominal Pain,Skin Rash,High Fever,COVID-19
Joint Pain,Diarrhea,High Fever,Sneezing,Chills,Allergy
Chest Pain,Skin Rash,Loss of Appetite,Cough,Nausea,Flu
Runny Nose,Skin Rash,High Fever,Dizziness,Muscle Weakness,Malaria
Chest Pain,Vomiting,Shortness of Breath,Sore Throat,Muscle Weakness,Chikungunya
Cough,Vomiting,Skin Rash,Swelling,Nausea,Typhoid
Skin Rash,Body Pain,Swelling,Chills,Loss of Appetite,Allergy
Sneezing,Diarrhea,Shortness of Breath,Runny Nose,High Fever,Cold
Runny Nose,Headache,Fever,Diarrhea,Dizziness,Cold
Sore Throat,Diarrhea,Sweating,High Fever,Runny Nose,Typhoid
Skin Rash,Cough,Fatigue,Swelling,Chest Pain,Asthma
Joint Pain,High Fever,Chills,Fever,Headache,Pneumonia
Vomiting,Nausea,Loss of Appetite,Diarrhea,Muscle Weakness,Dengue
Cough,Runny Nose,Swelling,Chills,Sore Throat,COVID-19
Shortness of Breath,Skin Rash,Nausea,Chills,Abdominal Pain,Dengue
Skin Rash,Abdominal Pain,Joint Pain,Nausea,Sneezing,Cold
Abdominal Pain,Dizziness,Nausea,Sore Throat,Body Pain,Tuberculosis
Dizziness,High Fever,Fever,Cough,Headache,Tuberculosis
Swelling,Abdominal Pain,Dizziness,Loss of Appetite,Sneezing,COVID-19
High Fever,Loss of Appetite,Chills,Cough,Sore Throat,Pneumonia
Joint Pain,High Fever,Chills,Sneezing,Cough,Tuberculosis
Headache,Shortness of Breath,Nausea,High Fever,Cough,Cold
Sweating,Shortness of Breath,Nausea,Cough,Dizziness,Dengue
Shortness of Breath,Loss of Appetite,Vomiting,Chest Pain,Skin Rash,COVID-19
High Fever,Swelling,Dizziness,Headache,Skin Rash,COVID-19
Sweating,Shortness of Breath,Sore Throat,Body Pain,Fatigue,Cold
Skin Rash,Muscle Weakness,Shortness of Breath,Abdominal Pain,Sneezing,Asthma
Nausea,Headache,Skin Rash,Chest Pain,Muscle Weakness,Asthma
Abdominal Pain,Chills,Dizziness,Sweating,Sore Throat,Dengue
Diarrhea,Vomiting,Loss of Appetite,Sore Throat,Joint Pain,Malaria
Headache,Chest Pain,Sweating,Loss of Appetite,Cough,Tuberculosis
Runny Nose,Sore Throat,Sneezing,Fever,Vomiting,Pneumonia
Sweating,Skin Rash,Swelling,Sore Throat,Muscle Weakness,Pneumonia
Nausea,Shortness of Breath,High Fever,Sneezing,Runny Nose,Tuberculosis
Sore Throat,Shortness of Breath,Fever,Sweating,Dizziness,Food Poisoning
Fever,Headache,Joint Pain,Diarrhea,Cough,Flu
Loss of Appetite,Fatigue,Shortness of Breath,Sneezing,Muscle Weakness,Pneumonia
Chills,Sneezing,Sore Throat,Skin Rash,Nausea,Bronchitis
Joint Pain,Muscle Weakness,Headache,Cough,Chills,Tuberculosis
Sweating,Fatigue,Body Pain,Headache,Runny Nose,Tuberculosis
Joint Pain,Sore Throat,Cough,Shortness of Breath,Loss of Appetite,Cold
Sore Throat,Dizziness,Body Pain,Nausea,Chest Pain,Allergy
Nausea,Abdominal Pain,Loss of Appetite,Dizziness,Sweating,Flu
Dizziness,Sneezing,Cough,Shortness of Breath,Sweating,Typhoid
High Fever,Sweating,Loss of Appetite,Runny Nose,Chills,Flu
Vomiting,Swelling,Skin Rash,Joint Pain,Muscle Weakness,Cold
Skin Rash,Runny Nose,Sore Throat,Abdominal Pain,Nausea,Asthma
Skin Rash,Sore Throat,Runny Nose,Sweating,Swelling,Malaria
Sweating,Chills,Joint Pain,Nausea,Body Pain,Flu
Fatigue,Shortness of Breath,Muscle Weakness,Body Pain,Diarrhea,Asthma
Swelling,Loss of Appetite,Fatigue,Chills,Runny Nose,Flu
Fatigue,Nausea,Muscle Weakness,Skin Rash,High Fever,Typhoid
Sweating,Cough,Fatigue,Swelling,Fever,Bronchitis
Chills,Loss of Appetite,Sore Throat,Headache,Sneezing,Pneumonia
Muscle Weakness,Vomiting,Joint Pain,Body Pain,Runny Nose,Malaria
Headache,Nausea,Abdominal Pain,Loss of Appetite,Diarrhea,Chikungunya
Shortness of Breath,Body Pain,Fever,Sneezing,Chills,Chikungunya
Chest Pain,Fever,Cough,Fatigue,Shortness of Breath,Pneumonia
Cough,Sweating,Shortness of Breath,High Fever,Headache,Cold
Shortness of Breath,Fatigue,Joint Pain,Sore Throat,Dizziness,Typhoid
Loss of Appetite,Shortness of Breath,Vomiting,Body Pain,Runny Nose,Food Poisoning
Sweating,Cough,Body Pain,Swelling,Chills,Typhoid
Chest Pain,Headache,Abdominal Pain,Dizziness,Swelling,Typhoid
Abdominal Pain,Body Pain,High Fever,Muscle Weakness,Sore Throat,Pneumonia
High Fever,Nausea,Shortness of Breath,Sweating,Sneezing,Dengue
Fever,Chills,Cough,Fatigue,Sore Throat,Pneumonia
Vomiting,Sneezing,Fatigue,Shortness of Breath,Cough,Food Poisoning
Shortness of Breath,Swelling,Fever,Fatigue,Skin Rash,Asthma
Loss of Appetite,High Fever,Nausea,Fatigue,Body Pain,Flu
Chest Pain,Dizziness,Chills,Vomiting,Fever,Chikungunya
Fatigue,Chills,Abdominal Pain,Chest Pain,Sore Throat,Dengue
Swelling,Runny Nose,Chest Pain,Sweating,Joint Pain,Bronchitis
Swelling,Body Pain,Joint Pain,Cough,Sore Throat,Asthma
High Fever,Abdominal Pain,Diarrhea,Body Pain,Shortness of Breath,Bronchitis
Body Pain,Dizziness,Nausea,Skin Rash,Fatigue,Food Poisoning
Headache,Swelling,Sore Throat,Chills,Muscle Weakness,Tuberculosis
Fatigue,Diarrhea,Chills,Cough,High Fever,Chikungunya
Sore Throat,Sweating,Nausea,Chest Pain,Swelling,COVID-19
Headache,Swelling,Sneezing,Skin Rash,Loss of Appetite,Malaria
Runny Nose,Sneezing,Sore Throat,Shortness of Breath,Loss of Appetite,Bronchitis
Cough,Dizziness,Sweating,Nausea,Chest Pain,Typhoid
Cough,Nausea,Muscle Weakness,Diarrhea,Headache,Asthma
Cough,Diarrhea,Joint Pain,Loss of Appetite,Chills,Cold
Body Pain,Loss of Appetite,Skin Rash,Swelling,Shortness of Breath,Allergy
Fever,Fatigue,Loss of Appetite,Diarrhea,Runny Nose,COVID-19
Nausea,Body Pain,Joint Pain,Diarrhea,Sore Throat,Pneumonia
Runny Nose,Chills,Shortness of Breath,Abdominal Pain,Cough,Typhoid
Body Pain,Vomiting,Headache,Sore Throat,Chest Pain,Typhoid
Runny Nose,Sore Throat,Nausea,Joint Pain,Headache,Tuberculosis
Skin Rash,Vomiting,Dizziness,Abdominal Pain,Shortness of Breath,Dengue
Joint Pain,Sneezing,Diarrhea,Headache,Chest Pain,Asthma
High Fever,Fever,Sore Throat,Sneezing,Muscle Weakness,Allergy
High Fever,Cough,Runny Nose,Chest Pain,Body Pain,Dengue
Body Pain,Runny Nose,Muscle Weakness,Abdominal Pain,Sweating,Dengue
Diarrhea,High Fever,Abdominal Pain,Dizziness,Skin Rash,Cold
Fever,Chest Pain,Skin Rash,Runny Nose,High Fever,Tuberculosis
Skin Rash,Chest Pain,Runny Nose,Loss of Appetite,High Fever,Malaria
Skin Rash,Cough,Chills,Sweating,Joint Pain,Cold
Dizziness,Abdominal Pain,Chills,Cough,High Fever,Bronchitis
Fatigue,Sneezing,Cough,Dizziness,Vomiting,COVID-19
Runny Nose,Joint Pain,Headache,Sweating,Dizziness,COVID-19
Vomiting,Shortness of Breath,Nausea,Headache,Chest Pain,Bronchitis
Sore Throat,Sweating,Chills,Muscle Weakness,High Fever,Bronchitis
Abdominal Pain,Diarrhea,Muscle Weakness,Dizziness,Sweating,Flu
High Fever,Swelling,Muscle Weakness,Headache,Shortness of Breath,Bronchitis
Shortness of Breath,Skin Rash,Body Pain,Joint Pain,Dizziness,Flu
Dizziness,Runny Nose,Sore Throat,Loss of Appetite,Diarrhea,Pneumonia
Chest Pain,Swelling,Fever,Body Pain,Muscle Weakness,Typhoid
Nausea,Body Pain,Cough,Sneezing,Dizziness,Bronchitis
Muscle Weakness,Abdominal Pain,Swelling,Chills,Fever,Allergy
Headache,Fatigue,Sore Throat,Abdominal Pain,Skin Rash,Typhoid
Sneezing,Chills,Fatigue,Shortness of Breath,Headache,Pneumonia
Vomiting,Chills,Sweating,Sore Throat,Cough,Bronchitis
Fever,Vomiting,Abdominal Pain,Swelling,Muscle Weakness,Dengue
Headache,Fatigue,Sweating,Dizziness,Chills,Pneumonia
Abdominal Pain,Swelling,Headache,Runny Nose,Nausea,Dengue
Chest Pain,Muscle Weakness,Nausea,Sore Throat,Body Pain,Pneumonia
High Fever,Sweating,Dizziness,Cough,Shortness of Breath,Malaria
Chest Pain,Body Pain,Joint Pain,Muscle Weakness,Skin Rash,Asthma
Shortness of Breath,Fever,Dizziness,Swelling,Body Pain,Chikungunya
Vomiting,Sweating,Fever,Abdominal Pain,Muscle Weakness,Asthma
Fatigue,Chest Pain,Cough,Runny Nose,Fever,Bronchitis
Sore Throat,Vomiting,Chills,High Fever,Fever,Tuberculosis
Fatigue,High Fever,Muscle Weakness,Runny Nose,Abdominal Pain,Dengue
Sweating,Skin Rash,Joint Pain,Dizziness,Abdominal Pain,Flu
Sweating,Chills,Dizziness,Loss of Appetite,Skin Rash,Dengue
Headache,Diarrhea,Dizziness,Muscle Weakness,Chest Pain,Allergy
Swelling,Cough,Dizziness,Skin Rash,Chest Pain,Chikungunya
Runny Nose,Body Pain,Joint Pain,High Fever,Nausea,Cold
Sneezing,Swelling,Muscle Weakness,Dizziness,Cough,COVID-19
Chest Pain,Muscle Weakness,Fever,Cough,Fatigue,Pneumonia
Joint Pain,Fatigue,Loss of Appetite,Nausea,Sneezing,Cold
Sneezing,Abdominal Pain,Fever,Runny Nose,Sweating,COVID-19
Headache,Fatigue,Nausea,Abdominal Pain,Chest Pain,Typhoid
Skin Rash,Joint Pain,Sneezing,Abdominal Pain,Shortness of Breath,Tuberculosis
Fever,Joint Pain,Shortness of Breath,Dizziness,Diarrhea,Allergy
Chest Pain,Body Pain,Sneezing,Diarrhea,Sweating,Cold
Runny Nose,Vomiting,Body Pain,Sweating,Loss of Appetite,Cold
Chest Pain,Cough,Nausea,Runny Nose,High Fever,Asthma
Chills,Sore Throat,Loss of Appetite,Muscle Weakness,Swelling,Allergy
Sneezing,Swelling,Cough,Sweating,High Fever,Pneumonia
Diarrhea,Muscle Weakness,High Fever,Vomiting,Sweating,Bronchitis
Sneezing,Swelling,High Fever,Runny Nose,Dizziness,Bronchitis
Runny Nose,Muscle Weakness,Abdominal Pain,Joint Pain,Chest Pain,Pneumonia
Dizziness,Sneezing,Sweating,Sore Throat,Chest Pain,Dengue
Sweating,Nausea,High Fever,Sore Throat,Headache,Chikungunya
Dizziness,Fever,Nausea,Body Pain,Shortness of Breath,Typhoid
Runny Nose,Fever,Chills,Sweating,Cough,Dengue
Fever,Cough,Sweating,Sore Throat,Joint Pain,Chikungunya
Loss of Appetite,Joint Pain,Muscle Weakness,Sore Throat,Chills,Food Poisoning
Runny Nose,Loss of Appetite,Muscle Weakness,Body Pain,Swelling,Cold
Skin Rash,Shortness of Breath,Abdominal Pain,Dizziness,Diarrhea,Pneumonia
Chest Pain,Sore Throat,Muscle Weakness,Nausea,Fatigue,Flu
Headache,Nausea,Muscle Weakness,Runny Nose,Shortness of Breath,Dengue
Vomiting,Fever,Swelling,Runny Nose,Nausea,Pneumonia
Loss of Appetite,Cough,Shortness of Breath,Nausea,Diarrhea,Bronchitis
Joint Pain,Dizziness,Sneezing,Runny Nose,Chest Pain,Tuberculosis
Shortness of Breath,Muscle Weakness,Body Pain,Loss of Appetite,Abdominal Pain,Asthma
Vomiting,Muscle Weakness,Headache,Joint Pain,Cough,Allergy
Loss of Appetite,Sweating,Sneezing,Vomiting,Sore Throat,Tuberculosis
Diarrhea,Muscle Weakness,Sweating,Sore Throat,Chills,COVID-19
Runny Nose,Dizziness,Headache,Shortness of Breath,Chest Pain,Pneumonia
Joint Pain,Dizziness,Chills,Diarrhea,Swelling,Flu
Sore Throat,Headache,Shortness of Breath,High Fever,Joint Pain,Cold
Chest Pain,Loss of Appetite,Cough,Swelling,Fever,Chikungunya
Chest Pain,Shortness of Breath,Cough,Sneezing,Loss of Appetite,Flu
Diarrhea,Skin Rash,Sore Throat,Dizziness,Headache,Malaria
Chills,Loss of Appetite,Skin Rash,Fatigue,Body Pain,COVID-19
Chest Pain,Fatigue,Joint Pain,Shortness of Breath,Sneezing,Asthma
Chest Pain,Sneezing,Shortness of Breath,Body Pain,Vomiting,Malaria
Chest Pain,Diarrhea,Abdominal Pain,Headache,Cough,Pneumonia
Chills,Headache,Sweating,High Fever,Body Pain,Dengue
Swelling,Sore Throat,Fatigue,Nausea,Body Pain,Malaria
Muscle Weakness,Nausea,Fever,Sneezing,Abdominal Pain,Typhoid
Headache,Fatigue,Cough,Fever,Muscle Weakness,Chikungunya
Runny Nose,Nausea,Skin Rash,Joint Pain,Chest Pain,Cold
Swelling,Chills,Nausea,Body Pain,Skin Rash,Tuberculosis
Joint Pain,Sweating,Fatigue,Nausea,Swelling,COVID-19
Nausea,Chills,Diarrhea,Headache,Fatigue,Bronchitis
Abdominal Pain,Vomiting,Sweating,Headache,Swelling,Allergy
Abdominal Pain,Dizziness,Swelling,Skin Rash,Fatigue,Cold
Nausea,Dizziness,Runny Nose,Sweating,Chest Pain,Allergy
Headache,Runny Nose,Skin Rash,Vomiting,High Fever,Food Poisoning
Chills,Cough,Muscle Weakness,Loss of Appetite,Chest Pain,Bronchitis
Skin Rash,Sweating,Abdominal Pain,Runny Nose,High Fever,Allergy
Runny Nose,Abdominal Pain,Headache,Skin Rash,High Fever,Bronchitis
Runny Nose,Sneezing,Fever,Sore Throat,Headache,Tuberculosis
Sneezing,Diarrhea,Fatigue,Shortness of Breath,Skin Rash,Flu
Chest Pain,Diarrhea,Chills,Fever,Shortness of Breath,Asthma
Fatigue,Cough,Skin Rash,Loss of Appetite,Nausea,Food Poisoning
Fever,Fatigue,Sweating,Shortness of Breath,Joint Pain,Allergy
Sore Throat,Sneezing,Skin Rash,Vomiting,Shortness of Breath,Malaria
Vomiting,Sneezing,Dizziness,Joint Pain,Swelling,Food Poisoning
Swelling,Nausea,Runny Nose,Skin Rash,Dizziness,Typhoid
Sneezing,Joint Pain,Nausea,Sweating,Abdominal Pain,Flu
Loss of Appetite,Sweating,Shortness of Breath,Headache,Muscle Weakness,Flu
Chest Pain,Diarrhea,Dizziness,Shortness of Breath,Vomiting,Cold
