Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease,AnimalName
Mild fever,Fatigue,Chest discomfort,Wheezing,Chills,Bronchitis,Fox
Sneezing,Skin rash,Runny nose,Itchy eyes,Swelling,Allergy,Elephant
Shortness of breath,Cough with phlegm,Fatigue,Confusion,Chest pain,Pneumonia,Fox
Swelling,Sneezing,Itchy eyes,Skin rash,Runny nose,Allergy,Fowl
Chest pain,Chills,Confusion,Fatigue,High fever,Pneumonia,Elephant
Severe joint pain,Muscle pain,Rash,High fever,Headache,Chikungunya,Horse
Itchy eyes,Skin rash,Runny nose,Swelling,Sneezing,Allergy,Horse
Confusion,Fatigue,High fever,Chills,Chest pain,Pneumonia,Cat
Confusion,Chills,High fever,Cough with phlegm,Chest pain,Pneumonia,Cow
Mild cough,Sneezing,Runny nose,Mild fever,Mild fatigue,Cold,Turtle
Pain behind the eyes,Severe headache,Sudden high fever,Muscle and joint pain,Fatigue,Dengue,Deer
Dry cough,Chills,Fever,Diarrhea,Congestion,COVID-19,Sheep
Chills,Diarrhea,Sore throat,Headache,Muscle or body aches,Flu,Turtle
Vomiting,Muscle pain,Sweating,Nausea,Jaundice,Malaria,Tiger
Dengue Hemorrhagic Fever,Severe headache,Muscle and joint pain,Sudden high fever,Fatigue,Dengue,Goat
Severe joint pain,High fever,Fatigue,Nausea,Rash,Chikungunya,Hamster
Sweating,Muscle pain,High fever with chills,Nausea,Headache,Malaria,Elephant
Swelling,Runny nose,Itchy eyes,Sneezing,Skin rash,Allergy,Donkey
Chest pain,High fever,Fatigue,Cough with phlegm,Shortness of breath,Pneumonia,Cattle
Chest pain,Cough with phlegm,Confusion,Chills,High fever,Pneumonia,Elephant
Chills,Nausea,Loss of taste or smell,Congestion,Muscle aches,COVID-19,Chicken
Fever,Runny nose,Sore throat,Fatigue,Vomiting,Flu,Monkey
Dengue Hemorrhagic Fever,Muscle and joint pain,Mild bleeding,Rash,Pain behind the eyes,Dengue,Deer
Sore throat,Runny nose,Mild cough,Mild fever,Sneezing,Cold,Duck
Fever,Nausea,Fatigue,Sore throat,Diarrhea,COVID-19,Mammal
Severe joint pain,High fever,Fatigue,Headache,Nausea,Chikungunya,Lion
Fatigue,Chest discomfort,Wheezing,Mild fever,Persistent cough with mucus,Bronchitis,Mammal
Fever,Dry cough,Loss of taste or smell,Sore throat,Shortness of breath,COVID-19,Dog
Vomiting,Diarrhea,Sore throat,Fatigue,Muscle or body aches,Flu,Moos
Fever,Muscle or body aches,Sore throat,Dry Cough,Chills,Flu,Tiger
Wheezing,Shortness of breath,Coughing,Chest tightness,None,Asthma,Fowl
Diarrhea,Fatigue,Weakness,Prolonged high fever,Headache,Typhoid,Goat
Headache,Rose-colored spots,Fatigue,Prolonged high fever,Constipation,Typhoid,Cattle
Persistent cough with mucus,Fatigue,Mild fever,Chills,Wheezing,Bronchitis,Donkey
Fatigue,Pain behind the eyes,Rash,Severe headache,Dengue Hemorrhagic Fever,Dengue,Turtle
Muscle pain,Fatigue,Severe joint pain,Rash,High fever,Chikungunya,Cat
Vomiting,Stomach cramps,Dehydration,Weakness,Nausea,Food Poisoning,Donkey
Chills,Wheezing,Fatigue,Chest discomfort,Mild fever,Bronchitis,Duck
Fatigue,Chills,Shortness of breath,Chest pain,Confusion,Pneumonia,Donkey
Sudden high fever,Mild bleeding,Muscle and joint pain,Severe headache,Pain behind the eyes,Dengue,Rabbit
Rash,Headache,Nausea,High fever,Severe joint pain,Chikungunya,Buffaloes
Fever,Stomach cramps,Weakness,Dehydration,Diarrhea,Food Poisoning,Hyaenas
Fever (evening),Night sweats,Loss of appetite,Weight loss,Persistent cough,Tuberculosis,Tiger
High fever,Severe joint pain,Headache,Nausea,Fatigue,Chikungunya,Moos
Weakness,Constipation,Prolonged high fever,Rose-colored spots,Abdominal pain,Typhoid,Hamster
Loss of appetite,Fever (evening),Persistent cough,Weight loss,Blood in cough,Tuberculosis,Sheep
Nausea,Diarrhea,Stomach cramps,Bloody diarrhea,Fever,Food Poisoning,Tiger
Mild fever,Chest discomfort,Fatigue,Chills,Wheezing,Bronchitis,Sheep
Rash,Nausea,Fatigue,Severe joint pain,Muscle pain,Chikungunya,Dog
Jaundice,High fever with chills,Fatigue,Headache,Nausea,Malaria,Tiger
Fatigue,Fever (evening),Loss of appetite,Night sweats,Persistent cough,Tuberculosis,Cat
Shortness of breath,Coughing,Wheezing,Chest tightness,None,Asthma,Cat
Runny nose,Sneezing,Swelling,Itchy eyes,Skin rash,Allergy,Buffaloes
Diarrhea,Fever,Nausea,Weakness,Bloody diarrhea,Food Poisoning,Lion
Night sweats,Blood in cough,Fatigue,Weight loss,Persistent cough,Tuberculosis,Elephant
Shortness of breath,Wheezing,Coughing,Chest tightness,None,Asthma,Hyaenas
Chills,Chest discomfort,Fatigue,Wheezing,Mild fever,Bronchitis,Snake
Rose-colored spots,Constipation,Fatigue,Diarrhea,Prolonged high fever,Typhoid,Mammal
Diarrhea,Dry Cough,Fever,Muscle or body aches,Vomiting,Flu,Dog
Sore throat,Fever,Muscle or body aches,Fatigue,Diarrhea,Flu,Goat
Sneezing,Swelling,Skin rash,Itchy eyes,Runny nose,Allergy,Hyaenas
Headache,Fatigue,Severe joint pain,High fever,Rash,Chikungunya,Fowl
Confusion,Cough with phlegm,Fatigue,Shortness of breath,Chills,Pneumonia,Goat
Dehydration,Nausea,Stomach cramps,Weakness,Vomiting,Food Poisoning,Elephant
Fatigue,Muscle and joint pain,Mild bleeding,Dengue Hemorrhagic Fever,Severe headache,Dengue,Monkey
Weakness,Constipation,Rose-colored spots,Abdominal pain,Fatigue,Typhoid,Wolves
Diarrhea,Headache,Fatigue,Weakness,Prolonged high fever,Typhoid,Buffaloes
Shortness of breath,Wheezing,Coughing,Chest tightness,None,Asthma,Rabbit
Fatigue,Weight loss,Fever (evening),Night sweats,Blood in cough,Tuberculosis,Elephant
Dehydration,Weakness,Vomiting,Bloody diarrhea,Fever,Food Poisoning,Wolves
Diarrhea,Dehydration,Fever,Vomiting,Nausea,Food Poisoning,Birds
Nausea,Fatigue,Diarrhea,Loss of taste or smell,Shortness of breath,COVID-19,Goat
Vomiting,Runny nose,Muscle or body aches,Chills,Headache,Flu,Hyaenas
Muscle pain,Headache,Rash,Nausea,Fatigue,Chikungunya,Mammal
Sneezing,Mild fatigue,Mild cough,Runny nose,Mild fever,Cold,Cow
Weight loss,Fever (evening),Blood in cough,Night sweats,Persistent cough,Tuberculosis,Goat
Mild cough,Mild fatigue,Sneezing,Sore throat,Mild fever,Cold,Lion
Shortness of breath,Coughing,Wheezing,Chest tightness,None,Asthma,Elephant
Sneezing,Sore throat,Mild fever,Mild fatigue,Mild cough,Cold,Tiger
Skin rash,Itchy eyes,Sneezing,Swelling,Runny nose,Allergy,Elephant
Constipation,Diarrhea,Fatigue,Rose-colored spots,Abdominal pain,Typhoid,Duck
Night sweats,Blood in cough,Weight loss,Persistent cough,Loss of appetite,Tuberculosis,Snake
Prolonged high fever,Diarrhea,Abdominal pain,Headache,Weakness,Typhoid,Monkey
Diarrhea,Nausea,Vomiting,Stomach cramps,Weakness,Food Poisoning,Cattle
Congestion,Fatigue,Muscle aches,Chills,Shortness of breath,COVID-19,Chicken
Mild fever,Mild fatigue,Mild cough,Runny nose,Sore throat,Cold,Birds
Weakness,Vomiting,Diarrhea,Stomach cramps,Fever,Food Poisoning,Cat
Swelling,Sneezing,Runny nose,Skin rash,Itchy eyes,Allergy,Snake
Loss of appetite,Persistent cough,Night sweats,Fever (evening),Fatigue,Tuberculosis,Moos
Runny nose,Mild fatigue,Sneezing,Sore throat,Mild cough,Cold,Chicken
Sweating,Jaundice,Fatigue,Anemia,Muscle pain,Malaria,Moos
Pain behind the eyes,Dengue Hemorrhagic Fever,Severe headache,Sudden high fever,Mild bleeding,Dengue,Chicken
Chills,Shortness of breath,High fever,Fatigue,Chest pain,Pneumonia,Tiger
Fatigue,Sudden high fever,Pain behind the eyes,Muscle and joint pain,Dengue Hemorrhagic Fever,Dengue,Sheep
Swelling,Itchy eyes,Runny nose,Sneezing,Skin rash,Allergy,Buffaloes
Wheezing,Coughing,Shortness of breath,Chest tightness,None,Asthma,Mammal
Skin rash,Itchy eyes,Swelling,Sneezing,Runny nose,Allergy,Dog
Headache,Diarrhea,Prolonged high fever,Rose-colored spots,Abdominal pain,Typhoid,Moos
Sneezing,Mild cough,Sore throat,Mild fever,Runny nose,Cold,Horse
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Lion
Muscle aches,Loss of taste or smell,Fever,Sore throat,Nausea,COVID-19,Monkey
Muscle aches,Fever,Congestion,Diarrhea,Chills,COVID-19,Deer
Sore throat,Dry cough,Diarrhea,Loss of taste or smell,Fever,COVID-19,Wolves
Chest pain,High fever,Chills,Fatigue,Confusion,Pneumonia,Deer
Mild bleeding,Pain behind the eyes,Fatigue,Sudden high fever,Muscle and joint pain,Dengue,Duck
Headache,Rose-colored spots,Fatigue,Abdominal pain,Weakness,Typhoid,Hyaenas
Nausea,Congestion,Loss of taste or smell,Fatigue,Fever,COVID-19,Mammal
High fever with chills,Sweating,Muscle pain,Headache,Jaundice,Malaria,Cattle
Chills,Fatigue,Confusion,Chest pain,Cough with phlegm,Pneumonia,Wolves
Blood in cough,Fatigue,Persistent cough,Weight loss,Fever (evening),Tuberculosis,Pig
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Hamster
Sweating,Nausea,High fever with chills,Jaundice,Vomiting,Malaria,Birds
Muscle pain,Nausea,Vomiting,Jaundice,High fever with chills,Malaria,Cow
Nausea,Sweating,Fatigue,High fever with chills,Jaundice,Malaria,Lion
Sore throat,Nausea,Fatigue,Muscle aches,Loss of taste or smell,COVID-19,Cow
Vomiting,High fever with chills,Nausea,Fatigue,Jaundice,Malaria,Goat
Skin rash,Itchy eyes,Runny nose,Sneezing,Swelling,Allergy,Moos
Mild fever,Sneezing,Runny nose,Mild cough,Mild fatigue,Cold,Tiger
Vomiting,Jaundice,High fever with chills,Sweating,Headache,Malaria,Cat
Weakness,Vomiting,Fever,Diarrhea,Dehydration,Food Poisoning,Chicken
Chills,Sore throat,Congestion,Fatigue,Fever,COVID-19,Horse
Coughing,Chest tightness,Wheezing,Shortness of breath,None,Asthma,Elephant
Stomach cramps,Fever,Dehydration,Bloody diarrhea,Nausea,Food Poisoning,Birds
Night sweats,Fever (evening),Loss of appetite,Fatigue,Weight loss,Tuberculosis,Chicken
Rose-colored spots,Fatigue,Headache,Weakness,Prolonged high fever,Typhoid,Rabbit
Dengue Hemorrhagic Fever,Fatigue,Sudden high fever,Rash,Muscle and joint pain,Dengue,Hyaenas
Itchy eyes,Runny nose,Sneezing,Swelling,Skin rash,Allergy,Duck
Shortness of breath,Coughing,Chest tightness,Wheezing,None,Asthma,Snake
Night sweats,Persistent cough,Fatigue,Weight loss,Blood in cough,Tuberculosis,Fox
Rash,Headache,Fatigue,High fever,Muscle pain,Chikungunya,Dog
Shortness of breath,Fatigue,Chills,Chest pain,Confusion,Pneumonia,Hamster
Loss of appetite,Fever (evening),Night sweats,Persistent cough,Weight loss,Tuberculosis,Tiger
Rash,Dengue Hemorrhagic Fever,Mild bleeding,Pain behind the eyes,Muscle and joint pain,Dengue,Elephant
Fatigue,Vomiting,Muscle pain,Headache,High fever with chills,Malaria,Sheep
Chills,Muscle aches,Loss of taste or smell,Congestion,Nausea,COVID-19,Moos
Chills,Muscle aches,Loss of taste or smell,Congestion,Fatigue,COVID-19,Cow
Fever,Diarrhea,Bloody diarrhea,Vomiting,Dehydration,Food Poisoning,Elephant
Sore throat,Muscle or body aches,Diarrhea,Fatigue,Chills,Flu,Buffaloes
Confusion,High fever,Cough with phlegm,Fatigue,Chills,Pneumonia,Birds
Sore throat,Runny nose,Sneezing,Mild fatigue,Mild cough,Cold,Deer
Diarrhea,Congestion,Shortness of breath,Muscle aches,Sore throat,COVID-19,Hyaenas
Headache,Anemia,Jaundice,Sweating,Muscle pain,Malaria,Deer
Chest discomfort,Fatigue,Mild fever,Chills,Persistent cough with mucus,Bronchitis,Donkey
Fatigue,Diarrhea,Headache,Prolonged high fever,Weakness,Typhoid,Snake
Mild fatigue,Sore throat,Mild fever,Mild cough,Runny nose,Cold,Rabbit
Fever (evening),Loss of appetite,Night sweats,Weight loss,Persistent cough,Tuberculosis,Mammal
Chills,Muscle or body aches,Fatigue,Diarrhea,Vomiting,Flu,Birds
Mild fever,Sore throat,Mild cough,Runny nose,Mild fatigue,Cold,Cow
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Snake
Pain behind the eyes,Muscle and joint pain,Fatigue,Rash,Mild bleeding,Dengue,Cattle
Nausea,Bloody diarrhea,Stomach cramps,Vomiting,Dehydration,Food Poisoning,Rabbit
Nausea,Headache,Vomiting,Anemia,Sweating,Malaria,Snake
Fever,Dry cough,Fatigue,Shortness of breath,Chills,COVID-19,Fowl
Runny nose,Sore throat,Sneezing,Mild fatigue,Mild cough,Cold,Sheep
Rash,Dengue Hemorrhagic Fever,Fatigue,Sudden high fever,Muscle and joint pain,Dengue,Pig
Fever,Weakness,Bloody diarrhea,Diarrhea,Stomach cramps,Food Poisoning,Wolves
Dry Cough,Runny nose,Headache,Fever,Vomiting,Flu,Moos
Runny nose,Muscle or body aches,Fever,Fatigue,Sore throat,Flu,Rabbit
Anemia,Fatigue,Muscle pain,Vomiting,Headache,Malaria,Rabbit
Severe joint pain,Rash,Fatigue,High fever,Headache,Chikungunya,Fox
Headache,Prolonged high fever,Diarrhea,Weakness,Constipation,Typhoid,Wolves
Severe joint pain,High fever,Nausea,Muscle pain,Headache,Chikungunya,Deer
Abdominal pain,Headache,Prolonged high fever,Weakness,Rose-colored spots,Typhoid,Deer
Confusion,Chest pain,Cough with phlegm,Chills,High fever,Pneumonia,Moos
Fever,Headache,Vomiting,Diarrhea,Runny nose,Flu,Cattle
Dry cough,Sore throat,Shortness of breath,Congestion,Muscle aches,COVID-19,Fowl
Fatigue,Chest discomfort,Chills,Persistent cough with mucus,Wheezing,Bronchitis,Duck
Chest discomfort,Wheezing,Fatigue,Chills,Mild fever,Bronchitis,Pig
Vomiting,Fever,Dehydration,Stomach cramps,Bloody diarrhea,Food Poisoning,Cattle
Dry Cough,Vomiting,Fever,Headache,Runny nose,Flu,Fowl
Shortness of breath,High fever,Chills,Cough with phlegm,Fatigue,Pneumonia,Fox
Diarrhea,Headache,Vomiting,Muscle or body aches,Sore throat,Flu,Horse
Weakness,Constipation,Diarrhea,Fatigue,Prolonged high fever,Typhoid,Dog
Fever (evening),Persistent cough,Night sweats,Loss of appetite,Weight loss,Tuberculosis,Fox
Congestion,Fatigue,Shortness of breath,Nausea,Muscle aches,COVID-19,Pig
Mild fever,Mild cough,Runny nose,Sore throat,Mild fatigue,Cold,Hyaenas
Headache,Dry Cough,Chills,Vomiting,Sore throat,Flu,Cattle
Headache,Sweating,Vomiting,Nausea,High fever with chills,Malaria,Cat
Runny nose,Itchy eyes,Swelling,Sneezing,Skin rash,Allergy,Hamster
Vomiting,Sweating,Muscle pain,Anemia,Headache,Malaria,Horse
Mild bleeding,Rash,Pain behind the eyes,Dengue Hemorrhagic Fever,Severe headache,Dengue,Birds
Diarrhea,Abdominal pain,Headache,Weakness,Prolonged high fever,Typhoid,Dog
Runny nose,Skin rash,Itchy eyes,Sneezing,Swelling,Allergy,Lion
Mild fatigue,Mild fever,Mild cough,Runny nose,Sore throat,Cold,Fowl
Sudden high fever,Muscle and joint pain,Mild bleeding,Fatigue,Dengue Hemorrhagic Fever,Dengue,Buffaloes
Abdominal pain,Weakness,Diarrhea,Headache,Fatigue,Typhoid,Fox
Severe headache,Rash,Sudden high fever,Pain behind the eyes,Fatigue,Dengue,Sheep
Fatigue,Mild bleeding,Pain behind the eyes,Severe headache,Muscle and joint pain,Dengue,Fowl
Abdominal pain,Fatigue,Constipation,Headache,Weakness,Typhoid,Tiger
Mild fever,Persistent cough with mucus,Chest discomfort,Chills,Wheezing,Bronchitis,Horse
Mild fever,Runny nose,Mild cough,Mild fatigue,Sore throat,Cold,Horse
Runny nose,Chills,Dry Cough,Sore throat,Fever,Flu,Cat
Bloody diarrhea,Stomach cramps,Diarrhea,Vomiting,Nausea,Food Poisoning,Cow
Runny nose,Mild fatigue,Mild fever,Mild cough,Sore throat,Cold,Chicken
Muscle and joint pain,Severe headache,Fatigue,Rash,Sudden high fever,Dengue,Deer
Cough with phlegm,Fatigue,Confusion,High fever,Chest pain,Pneumonia,Snake
Weight loss,Fatigue,Persistent cough,Fever (evening),Blood in cough,Tuberculosis,Goat
Sneezing,Swelling,Itchy eyes,Skin rash,Runny nose,Allergy,Chicken
Mild fatigue,Runny nose,Mild fever,Sneezing,Mild cough,Cold,Cat
Wheezing,Shortness of breath,Chest tightness,Coughing,None,Asthma,Cattle
Cough with phlegm,Confusion,Shortness of breath,Chest pain,High fever,Pneumonia,Snake
Weakness,Vomiting,Dehydration,Nausea,Fever,Food Poisoning,Fowl
Mild fever,Chest discomfort,Persistent cough with mucus,Wheezing,Chills,Bronchitis,Cat
Muscle and joint pain,Fatigue,Severe headache,Dengue Hemorrhagic Fever,Sudden high fever,Dengue,Deer
Cough with phlegm,Fatigue,Confusion,Shortness of breath,Chills,Pneumonia,Hyaenas
Fatigue,Headache,Diarrhea,Rose-colored spots,Prolonged high fever,Typhoid,Duck
Fatigue,High fever,Rash,Severe joint pain,Muscle pain,Chikungunya,Deer
Loss of taste or smell,Fatigue,Congestion,Shortness of breath,Diarrhea,COVID-19,Hamster
Fever,Nausea,Dry cough,Shortness of breath,Chills,COVID-19,Fowl
Congestion,Fatigue,Shortness of breath,Muscle aches,Chills,COVID-19,Snake
Runny nose,Itchy eyes,Swelling,Sneezing,Skin rash,Allergy,Hyaenas
Fatigue,Sore throat,Nausea,Shortness of breath,Chills,COVID-19,Chicken
Jaundice,Anemia,Headache,Muscle pain,Vomiting,Malaria,Goat
Dry Cough,Diarrhea,Sore throat,Fatigue,Runny nose,Flu,Chicken
Chest pain,High fever,Fatigue,Confusion,Cough with phlegm,Pneumonia,Snake
Bloody diarrhea,Stomach cramps,Nausea,Dehydration,Diarrhea,Food Poisoning,Birds
Muscle or body aches,Runny nose,Sore throat,Diarrhea,Vomiting,Flu,Fox
Sneezing,Itchy eyes,Skin rash,Swelling,Runny nose,Allergy,Snake
Wheezing,Coughing,Shortness of breath,Chest tightness,None,Asthma,Mammal
Persistent cough,Loss of appetite,Blood in cough,Weight loss,Fatigue,Tuberculosis,Moos
Persistent cough,Loss of appetite,Fever (evening),Fatigue,Blood in cough,Tuberculosis,Sheep
Persistent cough,Fatigue,Loss of appetite,Night sweats,Fever (evening),Tuberculosis,Pig
Night sweats,Fever (evening),Persistent cough,Blood in cough,Weight loss,Tuberculosis,Turtle
Abdominal pain,Prolonged high fever,Constipation,Headache,Diarrhea,Typhoid,Donkey
Fatigue,Rash,Dengue Hemorrhagic Fever,Muscle and joint pain,Severe headache,Dengue,Elephant
Shortness of breath,Chest pain,High fever,Chills,Confusion,Pneumonia,Duck
Sore throat,Mild fatigue,Runny nose,Mild cough,Sneezing,Cold,Goat
Runny nose,Skin rash,Itchy eyes,Swelling,Sneezing,Allergy,Elephant
Mild bleeding,Severe headache,Dengue Hemorrhagic Fever,Rash,Muscle and joint pain,Dengue,Horse
Mild fever,Chest discomfort,Chills,Persistent cough with mucus,Wheezing,Bronchitis,Buffaloes
Mild cough,Runny nose,Sneezing,Mild fever,Sore throat,Cold,Sheep
Fever,Loss of taste or smell,Nausea,Diarrhea,Shortness of breath,COVID-19,Cattle
Shortness of breath,Coughing,Chest tightness,Wheezing,None,Asthma,Pig
Anemia,Headache,Fatigue,Muscle pain,Sweating,Malaria,Fowl
Persistent cough with mucus,Wheezing,Mild fever,Chest discomfort,Fatigue,Bronchitis,Snake
Weakness,Vomiting,Bloody diarrhea,Diarrhea,Stomach cramps,Food Poisoning,Chicken
Sore throat,Mild fever,Sneezing,Runny nose,Mild cough,Cold,Deer
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Wolves
Swelling,Skin rash,Itchy eyes,Sneezing,Runny nose,Allergy,Snake
Night sweats,Persistent cough,Blood in cough,Fever (evening),Weight loss,Tuberculosis,Fowl
Dry Cough,Fever,Fatigue,Headache,Vomiting,Flu,Buffaloes
Shortness of breath,Chest tightness,Wheezing,Coughing,None,Asthma,Buffaloes
Severe joint pain,Muscle pain,Headache,Rash,Nausea,Chikungunya,Duck
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Fowl
Shortness of breath,Chest pain,Cough with phlegm,Chills,Fatigue,Pneumonia,Goat
Fever,Sore throat,Loss of taste or smell,Diarrhea,Nausea,COVID-19,Monkey
Sudden high fever,Fatigue,Dengue Hemorrhagic Fever,Rash,Pain behind the eyes,Dengue,Rabbit
Anemia,Headache,Nausea,Vomiting,High fever with chills,Malaria,Horse
Fever (evening),Blood in cough,Fatigue,Persistent cough,Night sweats,Tuberculosis,Rabbit
Weight loss,Fever (evening),Fatigue,Blood in cough,Night sweats,Tuberculosis,Birds
Severe joint pain,Nausea,Rash,Fatigue,High fever,Chikungunya,Buffaloes
Weakness,Rose-colored spots,Prolonged high fever,Abdominal pain,Headache,Typhoid,Birds
Fever (evening),Persistent cough,Loss of appetite,Night sweats,Weight loss,Tuberculosis,Moos
Persistent cough with mucus,Wheezing,Chest discomfort,Fatigue,Chills,Bronchitis,Pig
Fever (evening),Night sweats,Weight loss,Fatigue,Persistent cough,Tuberculosis,Hamster
Shortness of breath,Wheezing,Coughing,Chest tightness,None,Asthma,Goat
Muscle pain,Jaundice,Headache,Nausea,High fever with chills,Malaria,Snake
Weakness,Abdominal pain,Fatigue,Constipation,Diarrhea,Typhoid,Sheep
Prolonged high fever,Constipation,Fatigue,Weakness,Abdominal pain,Typhoid,Pig
Itchy eyes,Skin rash,Runny nose,Sneezing,Swelling,Allergy,Cat
High fever,Nausea,Severe joint pain,Headache,Fatigue,Chikungunya,Monkey
Swelling,Itchy eyes,Runny nose,Skin rash,Sneezing,Allergy,Turtle
Shortness of breath,Chest tightness,Wheezing,Coughing,None,Asthma,Cattle
Wheezing,Fatigue,Chills,Mild fever,Persistent cough with mucus,Bronchitis,Tiger
Nausea,Loss of taste or smell,Muscle aches,Congestion,Chills,COVID-19,Snake
Muscle and joint pain,Sudden high fever,Rash,Pain behind the eyes,Severe headache,Dengue,Fowl
Mild fever,Wheezing,Persistent cough with mucus,Fatigue,Chills,Bronchitis,Sheep
Sweating,Nausea,Headache,High fever with chills,Jaundice,Malaria,Tiger
Mild fever,Runny nose,Sneezing,Sore throat,Mild fatigue,Cold,Tiger
Confusion,Fatigue,Chills,Shortness of breath,Cough with phlegm,Pneumonia,Pig
Shortness of breath,Coughing,Chest tightness,Wheezing,None,Asthma,Deer
Persistent cough,Blood in cough,Fever (evening),Loss of appetite,Night sweats,Tuberculosis,Cow
Mild fatigue,Sneezing,Sore throat,Mild cough,Runny nose,Cold,Cow
Vomiting,Stomach cramps,Dehydration,Fever,Weakness,Food Poisoning,Monkey
